timestamp,irradiance_wm2,ambient_c
2025-06-01 00:00:00+00:00,0.00000000,12.07179677
2025-06-01 01:00:00+00:00,0.00000000,11.27259339
2025-06-01 02:00:00+00:00,0.00000000,11.00000000
2025-06-01 03:00:00+00:00,0.00000000,11.27259339
2025-06-01 04:00:00+00:00,0.00000000,12.07179677
2025-06-01 05:00:00+00:00,0.00000000,13.34314575
2025-06-01 06:00:00+00:00,83.23862117,15.00000000
2025-06-01 07:00:00+00:00,268.72734173,16.92944764
2025-06-01 08:00:00+00:00,398.21894684,19.00000000
2025-06-01 09:00:00+00:00,532.62563015,21.07055236
2025-06-01 10:00:00+00:00,729.10381990,23.00000000
2025-06-01 11:00:00+00:00,790.66878398,24.65685425
2025-06-01 12:00:00+00:00,766.83719427,25.92820323
2025-06-01 13:00:00+00:00,764.41875359,26.72740661
2025-06-01 14:00:00+00:00,752.60014505,27.00000000
2025-06-01 15:00:00+00:00,600.32906859,26.72740661
2025-06-01 16:00:00+00:00,518.28980384,25.92820323
2025-06-01 17:00:00+00:00,447.70587585,24.65685425
2025-06-01 18:00:00+00:00,252.37447553,23.00000000
2025-06-01 19:00:00+00:00,69.67721952,21.07055236
2025-06-01 20:00:00+00:00,0.00000000,19.00000000
2025-06-01 21:00:00+00:00,0.00000000,16.92944764
2025-06-01 22:00:00+00:00,0.00000000,15.00000000
2025-06-01 23:00:00+00:00,0.00000000,13.34314575
2025-06-02 00:00:00+00:00,0.00000000,12.07179677
2025-06-02 01:00:00+00:00,0.00000000,11.27259339
2025-06-02 02:00:00+00:00,0.00000000,11.00000000
2025-06-02 03:00:00+00:00,0.00000000,11.27259339
2025-06-02 04:00:00+00:00,0.00000000,12.07179677
2025-06-02 05:00:00+00:00,0.00000000,13.34314575
2025-06-02 06:00:00+00:00,72.29251025,15.00000000
2025-06-02 07:00:00+00:00,308.17224019,16.92944764
2025-06-02 08:00:00+00:00,465.03179894,19.00000000
2025-06-02 09:00:00+00:00,642.54772944,21.07055236
2025-06-02 10:00:00+00:00,574.12068316,23.00000000
2025-06-02 11:00:00+00:00,808.94508311,24.65685425
2025-06-02 12:00:00+00:00,715.30632485,25.92820323
2025-06-02 13:00:00+00:00,722.28774352,26.72740661
2025-06-02 14:00:00+00:00,789.78987153,27.00000000
2025-06-02 15:00:00+00:00,744.22473935,26.72740661
2025-06-02 16:00:00+00:00,567.31453148,25.92820323
2025-06-02 17:00:00+00:00,376.36452953,24.65685425
2025-06-02 18:00:00+00:00,226.19389999,23.00000000
2025-06-02 19:00:00+00:00,105.65551758,21.07055236
2025-06-02 20:00:00+00:00,0.00000000,19.00000000
2025-06-02 21:00:00+00:00,0.00000000,16.92944764
2025-06-02 22:00:00+00:00,0.00000000,15.00000000
2025-06-02 23:00:00+00:00,0.00000000,13.34314575
2025-06-03 00:00:00+00:00,0.00000000,12.07179677
2025-06-03 01:00:00+00:00,0.00000000,11.27259339
2025-06-03 02:00:00+00:00,0.00000000,11.00000000
2025-06-03 03:00:00+00:00,0.00000000,11.27259339
2025-06-03 04:00:00+00:00,0.00000000,12.07179677
2025-06-03 05:00:00+00:00,0.00000000,13.34314575
2025-06-03 06:00:00+00:00,81.56982631,15.00000000
2025-06-03 07:00:00+00:00,256.47219777,16.92944764
2025-06-03 08:00:00+00:00,396.83773423,19.00000000
2025-06-03 09:00:00+00:00,573.71576446,21.07055236
2025-06-03 10:00:00+00:00,783.93186042,23.00000000
2025-06-03 11:00:00+00:00,675.50276980,24.65685425
2025-06-03 12:00:00+00:00,662.47211990,25.92820323
2025-06-03 13:00:00+00:00,660.48369196,26.72740661
2025-06-03 14:00:00+00:00,631.09585989,27.00000000
2025-06-03 15:00:00+00:00,521.45870501,26.72740661
2025-06-03 16:00:00+00:00,477.24440878,25.92820323
2025-06-03 17:00:00+00:00,492.89168983,24.65685425
2025-06-03 18:00:00+00:00,234.94811795,23.00000000
2025-06-03 19:00:00+00:00,90.50203625,21.07055236
2025-06-03 20:00:00+00:00,0.00000000,19.00000000
2025-06-03 21:00:00+00:00,0.00000000,16.92944764
2025-06-03 22:00:00+00:00,0.00000000,15.00000000
2025-06-03 23:00:00+00:00,0.00000000,13.34314575
2025-06-04 00:00:00+00:00,0.00000000,12.07179677
2025-06-04 01:00:00+00:00,0.00000000,11.27259339
2025-06-04 02:00:00+00:00,0.00000000,11.00000000
2025-06-04 03:00:00+00:00,0.00000000,11.27259339
2025-06-04 04:00:00+00:00,0.00000000,12.07179677
2025-06-04 05:00:00+00:00,0.00000000,13.34314575
2025-06-04 06:00:00+00:00,103.64637446,15.00000000
2025-06-04 07:00:00+00:00,250.60858041,16.92944764
2025-06-04 08:00:00+00:00,507.09381273,19.00000000
2025-06-04 09:00:00+00:00,492.87109750,21.07055236
2025-06-04 10:00:00+00:00,665.13288633,23.00000000
2025-06-04 11:00:00+00:00,785.37407704,24.65685425
2025-06-04 12:00:00+00:00,816.37458701,25.92820323
2025-06-04 13:00:00+00:00,634.33283804,26.72740661
