timestamp,wind_speed_ms
2025-06-01 00:00:00+00:00,2.03823731
2025-06-01 01:00:00+00:00,12.78156885
2025-06-01 02:00:00+00:00,3.45952178
2025-06-01 03:00:00+00:00,12.01608524
2025-06-01 04:00:00+00:00,6.89270308
2025-06-01 05:00:00+00:00,9.32329604
2025-06-01 06:00:00+00:00,13.18816276
2025-06-01 07:00:00+00:00,9.25419680
2025-06-01 08:00:00+00:00,5.29754518
2025-06-01 09:00:00+00:00,6.80142585
2025-06-01 10:00:00+00:00,12.32442456
2025-06-01 11:00:00+00:00,2.57776237
2025-06-01 12:00:00+00:00,7.19626819
2025-06-01 13:00:00+00:00,3.20943335
2025-06-01 14:00:00+00:00,5.29662358
2025-06-01 15:00:00+00:00,4.19967571
2025-06-01 16:00:00+00:00,7.50532410
2025-06-01 17:00:00+00:00,10.25748634
2025-06-01 18:00:00+00:00,13.12404979
2025-06-01 19:00:00+00:00,16.08839228
2025-06-01 20:00:00+00:00,5.10179028
2025-06-01 21:00:00+00:00,3.44933160
2025-06-01 22:00:00+00:00,5.19171551
2025-06-01 23:00:00+00:00,5.07211446
2025-06-02 00:00:00+00:00,10.04146520
2025-06-02 01:00:00+00:00,10.49281388
2025-06-02 02:00:00+00:00,2.97573142
2025-06-02 03:00:00+00:00,2.70042090
2025-06-02 04:00:00+00:00,4.49694938
2025-06-02 05:00:00+00:00,3.92173278
2025-06-02 06:00:00+00:00,2.25879728
2025-06-02 07:00:00+00:00,4.74238093
2025-06-02 08:00:00+00:00,10.61219400
2025-06-02 09:00:00+00:00,10.48537160
2025-06-02 10:00:00+00:00,10.54999415
2025-06-02 11:00:00+00:00,11.93763428
2025-06-02 12:00:00+00:00,2.74006609
2025-06-02 13:00:00+00:00,5.41083762
2025-06-02 14:00:00+00:00,1.23872994
2025-06-02 15:00:00+00:00,5.68763815
2025-06-02 16:00:00+00:00,1.94686605
2025-06-02 17:00:00+00:00,7.57923583
2025-06-02 18:00:00+00:00,8.27424202
2025-06-02 19:00:00+00:00,2.98492320
2025-06-02 20:00:00+00:00,5.76424015
2025-06-02 21:00:00+00:00,7.34498700
2025-06-02 22:00:00+00:00,10.62529839
2025-06-02 23:00:00+00:00,9.11105617
2025-06-03 00:00:00+00:00,8.68661297
2025-06-03 01:00:00+00:00,7.97174565
2025-06-03 02:00:00+00:00,7.51315683
2025-06-03 03:00:00+00:00,6.17671978
2025-06-03 04:00:00+00:00,7.29286573
2025-06-03 05:00:00+00:00,2.58152236
2025-06-03 06:00:00+00:00,4.35635062
2025-06-03 07:00:00+00:00,8.51358213
2025-06-03 08:00:00+00:00,15.39312346
2025-06-03 09:00:00+00:00,11.10521354
2025-06-03 10:00:00+00:00,6.01349976
2025-06-03 11:00:00+00:00,5.44974259
2025-06-03 12:00:00+00:00,13.08888692
2025-06-03 13:00:00+00:00,7.09874870
2025-06-03 14:00:00+00:00,5.33691388
2025-06-03 15:00:00+00:00,10.26860919
2025-06-03 16:00:00+00:00,15.33120035
2025-06-03 17:00:00+00:00,9.13247799
2025-06-03 18:00:00+00:00,3.82422471
2025-06-03 19:00:00+00:00,1.60423783
2025-06-03 20:00:00+00:00,6.09675222
2025-06-03 21:00:00+00:00,1.76307933
2025-06-03 22:00:00+00:00,4.93355505
2025-06-03 23:00:00+00:00,4.44649381
2025-06-04 00:00:00+00:00,9.41602725
2025-06-04 01:00:00+00:00,1.18683887
2025-06-04 02:00:00+00:00,12.99478877
2025-06-04 03:00:00+00:00,8.89164867
2025-06-04 04:00:00+00:00,5.30885486
2025-06-04 05:00:00+00:00,4.98966078
2025-06-04 06:00:00+00:00,13.06027956
2025-06-04 07:00:00+00:00,6.86991877
2025-06-04 08:00:00+00:00,5.78687080
2025-06-04 09:00:00+00:00,10.25846737
2025-06-04 10:00:00+00:00,8.76365947
2025-06-04 11:00:00+00:00,13.17030925
2025-06-04 12:00:00+00:00,8.06664550
2025-06-04 13:00:00+00:00,4.81484477
2025-06-04 14:00:00+00:00,5.02703906
2025-06-04 15:00:00+00:00,4.76375211
2025-06-04 16:00:00+00:00,2.50932190
2025-06-04 17:00:00+00:00,12.45996246
2025-06-04 18:00:00+00:00,1.61298026
2025-06-04 19:00:00+00:00,8.26757635
2025-06-04 20:00:00+00:00,5.76286046
2025-06-04 21:00:00+00:00,7.69916365
2025-06-04 22:00:00+00:00,1.49739449
2025-06-04 23:00:00+00:00,3.44538215
2025-06-05 00:00:00+00:00,4.56141332
