timestamp,river_flow_m3s
2025-06-01 00:00:00+00:00,24.45542261
2025-06-01 01:00:00+00:00,22.77053504
2025-06-01 02:00:00+00:00,22.72545066
2025-06-01 03:00:00+00:00,23.80131067
2025-06-01 04:00:00+00:00,25.24221574
2025-06-01 05:00:00+00:00,23.86984765
2025-06-01 06:00:00+00:00,23.88017751
2025-06-01 07:00:00+00:00,21.29619225
2025-06-01 08:00:00+00:00,24.40805885
2025-06-01 09:00:00+00:00,25.36581185
2025-06-01 10:00:00+00:00,25.62964774
2025-06-01 11:00:00+00:00,25.71470679
2025-06-01 12:00:00+00:00,24.90823784
2025-06-01 13:00:00+00:00,25.12921649
2025-06-01 14:00:00+00:00,26.49873150
2025-06-01 15:00:00+00:00,25.43324317
2025-06-01 16:00:00+00:00,22.92630818
2025-06-01 17:00:00+00:00,27.00547217
2025-06-01 18:00:00+00:00,24.57725285
2025-06-01 19:00:00+00:00,27.60720889
2025-06-01 20:00:00+00:00,28.07349458
2025-06-01 21:00:00+00:00,27.03624795
2025-06-01 22:00:00+00:00,27.28409446
2025-06-01 23:00:00+00:00,28.50327361
2025-06-02 00:00:00+00:00,25.02294528
2025-06-02 01:00:00+00:00,26.71841554
2025-06-02 02:00:00+00:00,26.76559569
2025-06-02 03:00:00+00:00,25.37964100
2025-06-02 04:00:00+00:00,29.01225116
2025-06-02 05:00:00+00:00,25.95551412
2025-06-02 06:00:00+00:00,25.82541104
2025-06-02 07:00:00+00:00,27.07094387
2025-06-02 08:00:00+00:00,28.02996236
2025-06-02 09:00:00+00:00,26.11039415
2025-06-02 10:00:00+00:00,26.14723767
2025-06-02 11:00:00+00:00,27.50270841
2025-06-02 12:00:00+00:00,25.21404634
2025-06-02 13:00:00+00:00,26.02059668
2025-06-02 14:00:00+00:00,25.96061032
2025-06-02 15:00:00+00:00,26.45993551
2025-06-02 16:00:00+00:00,26.82089171
2025-06-02 17:00:00+00:00,29.21095223
2025-06-02 18:00:00+00:00,28.08883311
2025-06-02 19:00:00+00:00,27.02477997
2025-06-02 20:00:00+00:00,26.72196912
2025-06-02 21:00:00+00:00,28.03035815
2025-06-02 22:00:00+00:00,27.48057239
2025-06-02 23:00:00+00:00,28.01715017
2025-06-03 00:00:00+00:00,28.58195383
2025-06-03 01:00:00+00:00,25.68795559
2025-06-03 02:00:00+00:00,24.16329247
2025-06-03 03:00:00+00:00,26.80548700
2025-06-03 04:00:00+00:00,26.88797489
2025-06-03 05:00:00+00:00,27.09382140
2025-06-03 06:00:00+00:00,25.98431809
2025-06-03 07:00:00+00:00,26.37320184
2025-06-03 08:00:00+00:00,27.26856025
2025-06-03 09:00:00+00:00,27.27524275
2025-06-03 10:00:00+00:00,28.07589093
2025-06-03 11:00:00+00:00,23.81425804
2025-06-03 12:00:00+00:00,24.36710426
2025-06-03 13:00:00+00:00,28.02824461
2025-06-03 14:00:00+00:00,26.92899386
2025-06-03 15:00:00+00:00,27.07344220
2025-06-03 16:00:00+00:00,25.69871683
2025-06-03 17:00:00+00:00,25.38787576
2025-06-03 18:00:00+00:00,26.11023389
2025-06-03 19:00:00+00:00,24.65371555
2025-06-03 20:00:00+00:00,23.85376615
2025-06-03 21:00:00+00:00,24.26341234
2025-06-03 22:00:00+00:00,25.63983142
2025-06-03 23:00:00+00:00,26.16643543
2025-06-04 00:00:00+00:00,27.28316244
2025-06-04 01:00:00+00:00,25.64586174
2025-06-04 02:00:00+00:00,25.66304348
2025-06-04 03:00:00+00:00,27.01660630
2025-06-04 04:00:00+00:00,23.95227901
2025-06-04 05:00:00+00:00,23.62530749
2025-06-04 06:00:00+00:00,24.02204481
2025-06-04 07:00:00+00:00,24.44226595
2025-06-04 08:00:00+00:00,26.87500973
2025-06-04 09:00:00+00:00,23.91728486
2025-06-04 10:00:00+00:00,25.79272636
2025-06-04 11:00:00+00:00,23.54498061
2025-06-04 12:00:00+00:00,24.58969942
2025-06-04 13:00:00+00:00,24.70540673
2025-06-04 14:00:00+00:00,24.41535277
2025-06-04 15:00:00+00:00,24.56536244
2025-06-04 16:00:00+00:00,22.72602588
