timestamp,mass_flow_kgs,production_c,reinjection_c
2025-06-01 00:00:00+00:00,70.00000000,162.00000000,70.00000000
2025-06-01 01:00:00+00:00,70.11217358,161.99860141,70.00000000
2025-06-01 02:00:00+00:00,70.22419028,161.99440759,70.00000000
2025-06-01 03:00:00+00:00,70.33589343,161.98742442,70.00000000
2025-06-01 04:00:00+00:00,70.44712680,161.97766165,70.00000000
2025-06-01 05:00:00+00:00,70.55773482,161.96513295,70.00000000
2025-06-01 06:00:00+00:00,70.66756280,161.94985582,70.00000000
2025-06-01 07:00:00+00:00,70.77645714,161.93185165,70.00000000
2025-06-01 08:00:00+00:00,70.88426552,161.91114561,70.00000000
2025-06-01 09:00:00+00:00,70.99083719,161.88776666,70.00000000
2025-06-01 10:00:00+00:00,71.09602307,161.86174750,70.00000000
2025-06-01 11:00:00+00:00,71.19967607,161.83312451,70.00000000
2025-06-01 12:00:00+00:00,71.30165122,161.80193774,70.00000000
2025-06-01 13:00:00+00:00,71.40180588,161.76823079,70.00000000
2025-06-01 14:00:00+00:00,71.50000000,161.73205081,70.00000000
2025-06-01 15:00:00+00:00,71.59609623,161.69344840,70.00000000
2025-06-01 16:00:00+00:00,71.68996017,161.65247755,70.00000000
2025-06-01 17:00:00+00:00,71.78146056,161.60919556,70.00000000
2025-06-01 18:00:00+00:00,71.87046941,161.56366296,70.00000000
2025-06-01 19:00:00+00:00,71.95686223,161.51594345,70.00000000
2025-06-01 20:00:00+00:00,72.04051821,161.46610374,70.00000000
2025-06-01 21:00:00+00:00,72.12132034,161.41421356,70.00000000
2025-06-01 22:00:00+00:00,72.19915562,161.36034548,70.00000000
2025-06-01 23:00:00+00:00,72.27391517,161.30457482,70.00000000
2025-06-02 00:00:00+00:00,72.34549445,161.24697960,70.00000000
2025-06-02 01:00:00+00:00,72.41379334,161.18764037,70.00000000
2025-06-02 02:00:00+00:00,72.47871632,161.12664012,70.00000000
2025-06-02 03:00:00+00:00,72.54017260,161.06406415,70.00000000
2025-06-02 04:00:00+00:00,72.59807621,161.00000000,70.00000000
2025-06-02 05:00:00+00:00,72.65234618,160.93453726,70.00000000
2025-06-02 06:00:00+00:00,72.70290660,160.86776748,70.00000000
2025-06-02 07:00:00+00:00,72.74968677,160.79978405,70.00000000
2025-06-02 08:00:00+00:00,72.79262125,160.73068205,70.00000000
2025-06-02 09:00:00+00:00,72.83164999,160.66055812,70.00000000
2025-06-02 10:00:00+00:00,72.86671842,160.58951035,70.00000000
2025-06-02 11:00:00+00:00,72.89777748,160.51763809,70.00000000
2025-06-02 12:00:00+00:00,72.92478374,160.44504187,70.00000000
2025-06-02 13:00:00+00:00,72.94769942,160.37182321,70.00000000
2025-06-02 14:00:00+00:00,72.96649248,160.29808453,70.00000000
2025-06-02 15:00:00+00:00,72.98113663,160.22392895,70.00000000
2025-06-02 16:00:00+00:00,72.99161139,160.14946019,70.00000000
2025-06-02 17:00:00+00:00,72.99790211,160.07478239,70.00000000
2025-06-02 18:00:00+00:00,73.00000000,160.00000000,70.00000000
2025-06-02 19:00:00+00:00,72.99790211,159.92521761,70.00000000
2025-06-02 20:00:00+00:00,72.99161139,159.85053981,70.00000000
2025-06-02 21:00:00+00:00,72.98113663,159.77607105,70.00000000
2025-06-02 22:00:00+00:00,72.96649248,159.70191547,70.00000000
2025-06-02 23:00:00+00:00,72.94769942,159.62817679,70.00000000
2025-06-03 00:00:00+00:00,72.92478374,159.55495813,70.00000000
2025-06-03 01:00:00+00:00,72.89777748,159.48236191,70.00000000
2025-06-03 02:00:00+00:00,72.86671842,159.41048965,70.00000000
2025-06-03 03:00:00+00:00,72.83164999,159.33944188,70.00000000
2025-06-03 04:00:00+00:00,72.79262125,159.26931795,70.00000000
2025-06-03 05:00:00+00:00,72.74968677,159.20021595,70.00000000
